,Object Number,Object ID,Object Name,Title,Artist Display Name,Object Date,Object Begin Date,Object End Date,X_pca_x,X_pca_y,X_mctsne_x,X_mctsne_y,X_umap_x,X_umap_y,brightness_avg,brightness_rms,brightness_avg_perceived,brightness_rms_perceived,brightness_perceived_avg
0,51.12.2,200,Armchair,Spindle-back armchair,,1640–80,1640,1680,-246.45205689379858,-118.02487123592245,1.9834467814638577,-9.244182809903759,-2.528209778458247,-3.013249933264007,159.14748581044466,168.51253544294255,159.04587533525066,168.92484458292947,159.86809867550042
1,1970.35.1,237,Armchair,Armchair,Pottier and Stymus Manufacturing Company,ca. 1870–75,1867,1875,-191.6995079864187,-35.496387603274655,0.9282943610027697,-10.632471616980899,-3.082644195632151,-3.5178546247862,156.50816070307596,165.68462852779038,157.00023580901313,166.48283359932816,157.67195944391432
2,54.167,364,Basket,Basket,Myer Myers,1770–76,1770,1776,-371.57172513822854,100.66154432348377,6.323534104275609,-15.996271787981815,-4.578231619011725,-2.687514348537054,181.0400648507765,182.84968231008352,181.6593432532954,183.4685129701312,181.66526404374363
3,12.3.1,674,Basin,Basin,Master Potter A,ca. 1650,1647,1650,224.0158320580517,35.84754040277417,-1.4888652541954583,12.801003121333897,1.9468803709596514,-1.5322047448704104,93.4371797650049,101.03524186141291,94.17364773924076,102.08119271843054,94.47657816234593
4,38.63,802,Bowl,Two-handled Bowl,Cornelius Kierstede,1700–1710,1700,1710,-288.40131755647724,119.35204263887671,6.36324233289622,-14.994392710063078,-4.521704698020024,-2.6825048657138444,169.0548556871308,171.47667702301845,169.29447458950057,171.74385879675154,169.29566268255724
5,"77.9a, b",1029,Vase,The Bryant Vase,James Horton Whitehouse|Tiffany & Co.|Eugene J. Soligny|Augustus Saint-Gaudens,1875–76,1875,1876,-247.97626074393241,70.45829343172585,7.299695914024372,-13.422324203524509,-3.955818107212626,-2.201850604892696,161.12137528745302,164.1608632800434,161.26476508123844,164.2846886083056,161.27155326267626
6,10.125.83,1047,Bureau table,Bureau table,John Townsend,ca. 1765,1762,1765,-36.520830470755484,-275.26819040180123,12.894557510503544,-1.58881092757604,-2.2310322129409177,-1.662752560605264,125.2894095909969,138.23547679649937,124.9879660059115,138.6418457021026,125.95097707743851
7,1985.116,1083,Cabinet,Cabinet,Daniel Pabst,ca. 1877–80,1874,1880,-89.40389107148303,-236.6538892038237,12.726617717674584,-3.987010809975802,-2.655289358267549,-1.629722818857823,138.39574452607843,151.5229951595554,138.99013156287654,153.3171359658125,141.1565928084744
8,68.100.1,1084,Cabinet,Cabinet,Alexander Roux,ca. 1866,1863,1866,62.04016321583293,-330.3296451080778,-8.384428025610204,2.577449242575204,-1.8078880900610739,-2.0978774933035327,112.814071242174,138.8063809441087,113.32292876536117,139.50082176062136,113.85627092201338
9,1986.237,1503,Celery vase,Celery vase,Boston & Sandwich Glass Company,1827–35,1827,1835,-449.39492464467173,114.42513654473402,6.533338336012422,-16.789663120487344,-5.09447611453039,-3.1137391002507364,191.2845447537079,195.19507272180496,191.3029086728556,195.2223604683751,191.32062519758992
